Student_ID,Test_1_Grade,Test_2_Grade,Test_3_Grade,Test_4_Grade,Test_5_Grade,Test_6_Grade,Final_Grade,Tutoring
032,0.43,0.63,0.6,0.84,0.84,0.76,0.69,Test_4
033,0.65,0.68,0.75,0.65,0.7,0.82,0.71,Test_2
034,0.89,0.91,0.81,1.0,0.89,0.91,0.91,Never
035,0.78,0.85,0.82,1.0,0.83,0.65,0.83,Never
036,0.73,0.91,0.84,0.8,0.9,0.86,0.85,Test_4
037,0.79,0.94,0.79,0.79,0.85,0.71,0.82,Never
038,0.56,0.66,0.52,0.55,0.48,0.55,0.56,Test_2
039,0.96,0.97,0.96,0.82,0.91,0.83,0.91,Never
040,0.77,0.84,0.71,0.88,0.84,0.83,0.82,Test_3
041,1.0,0.9,0.78,0.9,0.97,0.92,0.92,Never
042,0.7,0.5,0.78,0.75,0.66,0.69,0.68,Test_3
043,0.71,1.0,0.81,0.83,0.76,0.94,0.85,Never
044,0.76,0.63,0.53,0.81,0.87,0.84,0.75,Test_4
045,0.8,0.82,0.82,0.85,0.83,0.75,0.82,Test_2
046,0.89,0.74,0.75,0.82,0.84,0.88,0.82,Test_3
047,0.79,0.79,0.97,0.82,0.82,0.83,0.84,Test_2
048,0.57,0.58,0.64,0.35,0.36,0.69,0.54,Never
049,0.43,0.41,0.29,0.47,0.27,0.54,0.41,Never
050,0.57,0.51,0.54,0.65,0.72,0.72,0.62,Never
051,0.84,0.8,0.86,0.72,0.88,0.77,0.82,Test_2
052,0.9,0.93,0.96,0.92,0.86,0.91,0.92,Never
053,0.82,0.54,0.84,1.0,0.72,0.83,0.8,Test_3
054,0.77,0.8,0.85,0.86,0.74,0.69,0.79,Test_3
055,0.79,0.76,0.84,0.76,0.79,0.77,0.79,Test_3
056,0.54,0.67,0.72,0.75,0.79,0.9,0.73,Test_3
057,0.73,0.61,0.93,0.83,0.74,0.8,0.78,Test_3
058,0.7,0.62,0.63,0.71,0.71,0.83,0.7,Test_4
059,0.65,0.71,0.86,0.82,0.69,0.76,0.75,Test_4
060,1.0,0.6,0.78,0.82,0.84,0.93,0.83,Test_4
061,0.63,0.75,0.82,0.79,0.88,0.79,0.78,Test_3
062,0.57,0.78,0.71,0.5,0.62,0.82,0.67,Test_6
063,0.83,0.76,0.87,0.79,0.75,0.82,0.81,Test_5
064,0.64,0.71,0.81,0.82,0.83,0.81,0.77,Test_2
065,0.67,0.78,0.79,0.71,0.84,0.75,0.76,Test_2
066,0.98,0.91,0.96,0.95,0.9,0.91,0.94,Never
067,0.94,0.86,0.81,0.82,0.91,0.91,0.88,Never
068,0.82,0.72,0.89,0.83,0.86,0.87,0.84,Test_3
069,0.94,0.8,0.9,0.8,0.81,0.75,0.84,Never
070,0.75,0.7,0.71,0.85,0.85,0.84,0.79,Test_2
071,0.66,0.84,0.72,0.83,0.6,0.62,0.72,Test_2
072,0.7,0.74,0.95,0.87,0.92,0.78,0.83,Test_2
073,0.92,0.96,0.93,0.92,0.91,0.89,0.93,Never
074,0.51,0.62,0.87,0.72,1.0,0.79,0.76,Test_3
075,0.46,0.79,0.63,0.64,0.72,0.8,0.68,Test_2
076,0.83,0.77,0.81,0.71,0.78,0.79,0.79,Test_2
077,0.86,0.84,0.9,0.97,0.95,0.88,0.9,Never
078,0.49,0.61,0.6,0.78,0.73,0.84,0.68,Test_6
079,0.66,0.76,0.71,0.74,0.73,0.63,0.71,Test_2
080,0.87,0.97,0.82,0.93,0.91,0.85,0.9,Never
081,0.68,0.8,0.84,0.7,0.69,0.9,0.77,Test_2
082,0.73,0.62,0.53,0.86,0.79,0.73,0.71,Test_5
083,0.72,0.85,0.83,0.79,0.65,0.81,0.78,Test_2
084,0.59,0.84,0.91,0.96,0.81,0.94,0.85,Test_2
085,0.65,0.84,0.72,0.79,0.78,0.84,0.77,Test_2
086,0.66,0.74,0.6,0.62,0.7,0.71,0.68,Never
087,0.76,0.43,0.67,0.82,0.7,0.8,0.7,Test_5
088,0.67,0.91,0.84,0.85,0.89,0.83,0.84,Test_2
089,0.49,0.37,0.6,0.44,0.45,0.31,0.45,Never
090,0.52,0.55,0.42,0.61,0.63,0.69,0.57,Never
091,0.61,0.64,0.71,0.83,0.77,0.76,0.73,Test_3
092,0.65,0.55,0.52,0.48,0.52,0.63,0.56,Never
093,0.73,0.74,0.78,0.82,0.83,0.95,0.81,Test_4
094,0.68,0.55,0.74,0.59,0.74,0.48,0.63,Never
095,0.8,0.82,0.81,0.85,0.68,0.85,0.81,Test_2
096,0.53,0.57,0.64,0.61,0.56,0.75,0.61,Never
097,0.75,0.7,0.65,0.64,0.83,0.78,0.73,Test_2
098,0.77,0.79,0.78,0.81,0.97,0.9,0.84,Test_3
099,0.55,0.49,0.57,0.76,0.67,0.83,0.65,Test_6
100,0.64,0.78,0.87,0.9,0.89,0.7,0.8,Test_3
101,0.71,0.69,0.67,0.69,0.86,0.76,0.73,Test_6
102,0.76,0.76,0.62,0.68,0.91,0.72,0.75,Test_2
103,0.52,0.59,0.65,0.76,0.72,0.71,0.66,Test_4
104,0.54,0.67,0.66,0.77,0.79,0.63,0.68,Never
105,0.71,0.83,0.78,0.77,0.91,0.76,0.8,Test_2
106,0.82,0.76,0.64,0.88,0.8,0.85,0.8,Test_3
107,0.71,0.65,0.51,0.74,0.76,0.69,0.68,Test_4
108,0.73,0.53,0.8,0.89,0.77,0.85,0.77,Test_3
109,0.81,0.83,0.8,0.84,0.74,0.86,0.82,Test_2
110,0.67,0.83,0.85,0.88,0.75,0.79,0.8,Test_4
111,0.95,0.95,0.84,0.84,0.94,0.9,0.91,Never
112,0.84,0.81,0.91,0.96,0.84,0.78,0.86,Test_2
113,0.81,0.86,0.85,0.83,0.85,0.91,0.86,Test_2
114,0.9,0.93,0.89,1.0,0.91,1.0,0.94,Never
115,0.57,0.72,0.55,0.64,0.49,0.69,0.61,Never
116,0.8,0.9,0.64,0.86,0.81,0.9,0.82,Test_4
117,0.72,0.38,0.51,0.58,0.8,0.64,0.61,Test_5
118,0.7,0.79,0.79,0.82,0.61,0.82,0.76,Test_2
119,0.65,0.83,0.85,0.82,0.83,0.83,0.81,Test_2
120,0.78,0.87,0.84,0.88,0.79,0.76,0.82,Test_2
121,0.89,0.84,0.9,0.97,0.92,0.91,0.91,Test_3
122,0.61,0.67,0.98,0.78,0.79,0.84,0.78,Test_3
123,0.83,0.8,0.94,0.9,0.87,0.87,0.87,Test_2
124,0.88,0.74,0.72,0.7,0.7,0.75,0.75,Test_4
125,0.87,0.85,0.97,0.88,0.89,0.84,0.89,Never
126,0.77,0.76,0.78,0.73,0.81,0.95,0.8,Test_2
127,0.73,0.82,0.79,0.74,0.79,0.72,0.77,Test_3
128,0.72,0.49,0.29,0.47,0.45,0.51,0.49,Never
129,0.58,0.63,0.57,0.59,0.58,0.53,0.58,Never
130,0.68,0.48,0.64,0.81,0.95,0.79,0.73,Test_4
131,0.67,0.86,0.7,0.78,0.76,0.83,0.77,Test_2
132,0.5,0.73,0.79,0.65,0.75,0.6,0.67,Test_4
133,0.62,0.84,0.84,0.87,0.64,0.79,0.77,Test_2
134,0.67,0.69,0.8,0.94,0.63,0.83,0.76,Test_4
135,0.57,0.6,0.9,0.84,0.73,0.83,0.75,Test_4
136,0.79,0.86,0.85,0.86,0.93,0.76,0.85,Test_2
137,0.45,0.9,0.86,0.8,0.82,0.75,0.77,Test_3
138,0.72,0.89,0.75,0.82,0.9,0.79,0.82,Test_2
139,0.78,0.88,0.89,0.67,0.79,0.73,0.79,Test_2
140,0.78,0.66,0.59,0.77,0.75,0.81,0.73,Test_5
141,0.61,0.91,0.81,0.9,0.92,0.84,0.84,Test_2
142,0.66,0.8,0.73,0.71,0.84,0.77,0.76,Test_2
143,0.88,0.95,0.82,0.92,0.96,0.92,0.91,Test_4
144,0.45,0.5,0.42,0.42,0.36,0.38,0.43,Never
145,0.71,0.93,0.86,0.83,0.77,0.71,0.81,Never
146,0.5,0.65,0.75,0.59,0.58,0.73,0.64,Test_2
147,0.68,0.95,0.74,0.78,0.81,0.76,0.79,Test_3
148,0.6,0.68,0.71,0.77,0.68,0.77,0.71,Test_3
149,0.73,0.89,0.85,0.85,0.69,0.87,0.82,Test_2
150,0.73,0.56,0.68,0.76,0.71,0.69,0.69,Test_4
151,0.8,0.92,0.75,0.63,0.79,0.76,0.78,Never
152,0.34,0.57,0.52,0.58,0.56,0.61,0.53,Never
153,0.71,0.82,0.78,0.83,0.8,0.82,0.8,Test_2
154,0.67,0.84,0.76,0.72,0.78,0.79,0.77,Test_2
155,0.94,0.97,0.99,0.81,0.92,0.88,0.92,Never
156,0.71,0.8,0.68,0.86,0.79,0.78,0.77,Test_2
157,0.89,0.89,0.94,0.94,0.97,0.97,0.94,Never
158,0.65,0.64,0.73,0.8,0.85,0.72,0.74,Test_3
159,0.63,0.6,0.83,0.81,0.68,0.62,0.7,Test_3
160,0.72,0.58,0.81,0.82,0.88,0.75,0.76,Test_3
161,0.61,0.54,0.53,0.53,0.63,0.66,0.59,Never
162,0.35,0.38,0.43,0.46,0.29,0.53,0.41,Never
163,0.68,0.65,0.92,0.84,0.82,0.75,0.78,Test_3
164,0.36,0.45,0.4,0.59,0.48,0.57,0.48,Test_5
165,0.8,0.88,0.79,0.8,0.75,0.77,0.8,Test_5
166,0.7,0.93,0.92,0.75,0.82,0.9,0.84,Never
167,0.77,0.81,0.8,0.83,0.79,0.82,0.81,Test_2
168,0.6,0.6,0.62,0.71,0.82,0.89,0.71,Test_6
169,0.75,0.78,0.76,0.81,0.76,0.71,0.77,Test_2
170,0.81,0.84,0.82,0.81,0.78,0.88,0.83,Test_2
171,0.57,0.66,0.63,0.61,0.45,0.73,0.61,Never
172,0.52,0.98,0.79,0.87,0.84,0.89,0.82,Test_2
173,0.55,0.7,0.69,0.74,0.71,0.78,0.7,Test_2
174,0.75,0.81,0.94,0.84,0.8,0.85,0.84,Test_2
175,0.79,0.76,0.86,0.8,0.81,0.77,0.8,Test_2
176,0.68,0.63,0.51,0.48,0.71,0.58,0.6,Test_5
177,0.81,0.81,0.76,0.68,0.75,0.73,0.76,Test_2
178,0.77,0.72,0.78,0.86,0.91,0.85,0.82,Test_2
179,0.6,0.79,0.86,1.0,0.78,0.85,0.82,Test_3
180,0.71,0.78,0.82,0.9,0.87,0.81,0.82,Test_2
181,0.86,0.73,0.63,0.8,0.89,0.74,0.78,Test_3
182,0.78,0.93,0.8,0.83,0.94,0.69,0.83,Test_2
183,0.69,0.67,0.74,0.92,0.88,0.8,0.79,Test_3
184,0.48,0.55,0.48,0.65,0.86,0.67,0.62,Test_5
185,0.43,0.5,0.36,0.56,0.57,0.53,0.5,Never
186,0.48,0.73,0.47,0.49,0.55,0.69,0.57,Test_6
187,0.55,0.53,0.43,0.33,0.43,0.55,0.47,Never
188,0.69,0.68,0.95,0.77,0.7,0.77,0.77,Test_2
189,0.7,0.69,0.9,0.7,0.69,0.85,0.76,Test_3
190,0.89,0.85,0.85,0.89,0.93,0.97,0.9,Never
191,0.68,0.77,0.86,0.89,0.81,0.89,0.82,Test_2
192,0.64,0.72,0.76,0.78,0.8,0.68,0.73,Test_2
193,0.66,0.8,0.85,0.9,0.75,0.83,0.8,Test_3
194,0.8,0.84,0.84,0.85,0.92,0.78,0.84,Test_2
195,0.72,0.53,0.62,0.55,0.74,0.77,0.66,Test_5
196,0.44,0.59,0.62,0.59,0.85,0.59,0.62,Test_5
197,0.72,0.85,0.85,0.83,0.8,0.84,0.82,Test_2
198,0.88,0.81,0.82,0.89,0.75,0.85,0.84,Never
199,0.62,0.54,0.42,0.61,0.65,0.66,0.59,Never
200,0.6,0.7,0.81,0.74,0.53,0.83,0.71,Test_6
201,0.89,0.97,0.9,0.93,0.96,0.92,0.93,Never
202,0.67,0.66,0.6,0.83,0.82,0.85,0.74,Test_4
203,0.75,0.9,0.8,0.89,0.83,0.9,0.85,Test_2
204,0.53,0.65,0.67,0.72,0.74,0.77,0.68,Never
205,0.59,0.75,0.58,0.68,0.7,0.84,0.69,Test_5
206,0.7,0.78,0.76,0.76,0.69,0.76,0.75,Test_2
207,0.73,0.65,0.89,0.75,0.73,0.64,0.74,Test_3
208,0.98,0.79,0.84,0.91,0.92,0.89,0.89,Never
209,0.79,0.95,0.73,0.81,0.81,0.95,0.84,Test_4
210,0.73,0.6,0.51,0.87,0.69,0.61,0.67,Never
211,0.32,0.63,0.62,0.43,0.72,0.71,0.58,Test_5
212,0.94,0.94,0.97,0.94,0.93,0.88,0.94,Never
213,0.57,0.63,0.69,0.74,0.76,0.74,0.69,Test_4
214,0.75,0.71,0.78,0.78,0.72,0.69,0.74,Test_2
215,0.46,0.61,0.44,0.58,0.78,0.63,0.59,Never
216,0.53,0.61,0.75,0.65,0.73,0.44,0.62,Never
217,0.53,0.54,0.76,0.74,0.63,0.72,0.66,Test_3
218,0.57,0.78,0.72,0.76,0.81,0.72,0.73,Test_2
219,0.48,0.57,0.63,0.51,0.75,0.66,0.6,Test_3
220,0.72,0.91,0.81,0.96,0.98,0.77,0.86,Never
221,0.79,0.81,0.77,0.86,0.73,0.87,0.81,Test_2
222,0.71,0.91,0.83,0.74,0.79,0.74,0.79,Test_3
223,0.69,0.66,0.92,0.83,0.79,0.88,0.8,Test_3
224,0.72,0.91,0.87,0.95,0.81,0.82,0.85,Test_2
225,0.85,0.68,0.86,0.85,0.64,0.89,0.8,Test_6
226,1.0,0.92,0.83,0.88,1.0,0.93,0.93,Never
227,0.6,0.85,0.84,0.83,0.74,0.83,0.79,Test_2
228,0.59,0.86,0.79,0.73,0.92,0.81,0.79,Test_2
229,0.63,0.88,0.95,0.81,0.85,0.76,0.82,Test_2
230,0.77,0.57,0.63,0.73,0.6,0.73,0.68,Test_3
231,0.59,0.78,0.9,0.85,0.8,0.73,0.78,Test_2
232,0.56,0.79,0.78,0.64,0.76,0.78,0.72,Test_5
233,0.6,0.88,0.76,0.85,0.86,0.79,0.79,Test_2
234,0.92,0.9,0.85,0.87,0.89,0.82,0.88,Never
235,0.84,0.94,0.8,0.83,0.87,0.85,0.86,Never
236,0.62,0.49,0.76,0.87,0.9,0.73,0.73,Test_3
237,0.69,0.79,0.73,0.84,0.77,0.75,0.77,Test_2
238,0.76,0.62,0.84,0.93,0.99,0.79,0.83,Test_3
239,0.91,0.8,0.89,0.67,0.89,0.84,0.84,Never
240,0.86,0.92,0.89,0.8,0.84,0.86,0.87,Never
241,0.68,0.63,0.7,0.83,0.93,0.79,0.77,Test_4
242,0.61,0.56,0.78,0.9,0.74,0.78,0.73,Test_3
243,0.72,0.72,0.68,0.73,0.8,0.81,0.75,Test_2
244,0.49,0.51,0.54,0.7,0.56,0.71,0.59,Test_6
245,0.58,0.69,0.64,0.67,0.72,0.8,0.69,Test_4
246,0.64,0.83,0.85,0.78,0.71,0.74,0.76,Test_2
247,0.71,0.8,0.66,0.69,0.67,0.85,0.73,Test_2
248,0.82,0.85,0.88,0.82,0.77,0.82,0.83,Test_2
249,0.85,0.9,0.97,0.93,0.88,0.97,0.92,Never
250,0.93,0.83,0.84,0.78,0.96,0.96,0.89,Test_5
251,0.58,0.67,0.46,0.55,0.44,0.8,0.59,Test_6
252,0.42,0.39,0.52,0.46,0.49,0.37,0.45,Never
253,0.57,0.76,0.75,0.7,0.61,0.73,0.69,Test_2
254,0.63,0.82,0.88,0.86,0.87,0.86,0.82,Test_2
255,0.66,0.59,0.93,0.87,0.76,0.76,0.77,Test_3
256,0.92,0.91,0.87,0.94,0.82,0.89,0.9,Never
257,0.54,0.8,0.87,0.85,0.9,0.86,0.81,Test_2
258,0.41,0.65,0.68,0.6,0.53,0.73,0.6,Never
259,0.65,0.55,0.66,0.56,0.76,0.72,0.65,Test_3
260,0.83,0.8,0.7,0.83,0.88,0.93,0.83,Test_3
261,0.65,0.8,0.83,0.88,0.91,0.72,0.8,Test_2
262,0.42,0.6,0.56,0.53,0.47,0.56,0.53,Test_2
263,0.86,0.64,0.81,0.7,0.79,0.79,0.77,Test_3
264,0.55,0.65,0.62,0.76,0.8,0.74,0.69,Test_2
265,0.9,0.95,0.94,0.81,0.9,0.95,0.91,Never
266,0.63,0.9,0.77,0.89,0.88,0.76,0.81,Test_2
267,0.66,0.53,0.7,0.62,0.53,0.48,0.59,Never
268,0.66,0.78,0.63,0.71,0.67,0.83,0.72,Test_5
269,0.61,0.74,0.77,0.68,0.78,0.78,0.73,Test_3
270,0.53,0.49,0.53,0.54,0.51,0.53,0.53,Never
271,0.58,0.61,0.48,0.75,0.72,0.63,0.63,Never
272,0.77,0.88,0.72,0.78,0.84,0.82,0.81,Test_2
273,0.61,0.92,0.76,0.74,0.81,0.67,0.76,Test_2
274,0.72,0.7,0.7,0.61,0.85,0.74,0.73,Test_5
275,0.89,0.79,0.77,0.8,0.94,0.81,0.84,Test_2
276,0.83,0.8,0.81,1.0,0.9,0.99,0.89,Test_2
277,0.65,0.74,0.77,0.82,0.84,0.57,0.74,Test_3
278,0.93,0.93,0.98,0.98,0.87,0.81,0.92,Never
279,0.78,0.86,0.8,0.78,0.86,0.83,0.82,Test_3
280,0.7,0.86,0.68,0.68,0.86,0.78,0.77,Test_3
281,0.64,0.73,0.72,0.88,0.91,0.75,0.78,Test_2
282,0.67,0.92,0.88,0.69,0.7,0.76,0.77,Test_2
283,0.91,0.98,0.9,0.85,0.8,0.92,0.9,Never
284,0.85,0.9,0.85,0.93,0.84,0.94,0.89,Never
285,0.56,0.58,0.68,0.5,0.6,0.49,0.57,Never
286,0.7,0.89,0.68,0.81,0.76,0.81,0.78,Test_2
287,0.76,0.82,0.9,0.76,0.97,0.8,0.84,Test_2
288,0.61,0.74,0.88,0.85,0.78,0.8,0.78,Test_3
289,0.6,0.85,0.7,0.73,0.58,0.72,0.7,Test_2
290,0.62,0.81,0.92,0.84,0.87,0.96,0.84,Test_3
291,0.98,0.84,0.89,0.87,0.83,0.94,0.9,Never
292,0.69,0.4,0.84,0.67,0.64,0.72,0.66,Test_3
293,0.63,0.76,0.71,0.71,0.75,0.74,0.72,Test_3
294,0.85,0.85,0.86,0.95,0.86,0.92,0.89,Test_3
295,0.7,0.81,0.8,0.89,0.92,0.75,0.82,Test_2
296,0.92,0.93,0.96,0.9,0.91,0.88,0.92,Never
297,0.39,0.6,0.69,0.73,0.74,0.57,0.62,Test_6
298,0.79,0.94,0.9,0.79,0.92,0.78,0.86,Never
299,0.71,0.85,0.66,0.79,0.83,0.95,0.8,Test_2
300,0.83,0.97,0.86,0.96,0.85,0.94,0.91,Never
301,0.7,0.66,0.82,0.87,0.93,0.68,0.78,Test_3
302,0.77,0.79,0.86,0.88,0.85,0.82,0.83,Test_2
303,0.77,0.73,0.82,0.7,0.79,0.72,0.76,Test_2
304,0.62,0.76,0.62,0.82,0.86,0.88,0.76,Test_2
305,0.74,0.57,0.77,0.79,0.78,0.86,0.76,Test_3
306,0.79,0.75,0.8,0.62,0.75,0.77,0.75,Test_2
307,0.8,0.73,0.87,0.79,0.86,0.83,0.82,Test_2
308,0.68,0.63,0.81,0.58,0.71,0.77,0.7,Test_3
309,0.59,0.76,0.67,0.69,0.51,0.77,0.67,Never
310,1.0,0.84,0.99,0.83,0.86,0.93,0.91,Never
311,0.74,0.83,0.85,0.87,0.71,0.88,0.82,Test_2
312,0.89,0.82,0.86,0.93,0.95,0.94,0.9,Test_5
313,0.55,0.85,0.79,0.77,0.87,0.85,0.78,Test_2
314,0.57,0.72,0.77,0.73,0.87,0.74,0.74,Test_2
315,0.89,0.89,0.98,0.94,0.79,0.87,0.9,Test_5
316,0.33,0.5,0.47,0.61,0.51,0.46,0.48,Never
317,0.7,0.73,0.75,0.76,0.86,0.8,0.77,Test_2
318,0.55,0.79,0.7,0.76,0.69,0.71,0.7,Test_2
319,0.96,0.76,0.89,0.75,0.72,0.82,0.82,Never
320,0.72,0.86,0.81,0.85,0.91,0.76,0.82,Test_2
321,0.73,0.55,0.87,0.81,0.89,0.84,0.79,Test_5
322,0.87,0.74,0.83,0.91,0.93,0.85,0.86,Test_3
323,0.85,0.7,0.81,0.85,0.94,0.82,0.83,Never
324,0.84,0.8,0.72,0.73,0.89,0.76,0.79,Test_5
325,0.68,0.76,0.67,0.64,0.82,0.76,0.73,Test_2
326,0.61,0.73,0.44,0.62,0.6,0.76,0.63,Test_4
327,0.72,0.76,0.77,0.82,0.84,0.79,0.79,Test_3
328,0.76,0.84,1.0,0.93,0.86,0.88,0.88,Test_2
329,0.66,0.51,0.79,0.7,0.69,0.93,0.72,Never
330,0.71,0.68,0.71,0.62,0.81,0.73,0.71,Test_2
331,0.63,0.82,0.85,0.76,0.8,0.81,0.78,Test_2
332,0.62,0.63,0.72,0.72,0.72,0.55,0.66,Never
333,0.63,0.91,0.82,0.77,0.61,0.73,0.75,Test_2
334,0.69,0.91,0.95,0.87,0.88,0.96,0.88,Test_2
335,0.79,0.82,0.72,0.81,0.94,0.94,0.84,Test_4
336,0.76,0.71,0.83,0.89,0.83,0.88,0.82,Test_3
337,0.66,0.86,0.7,1.0,0.86,0.84,0.82,Never
338,0.61,0.84,0.62,0.8,0.59,0.7,0.7,Test_4
339,0.71,0.86,0.82,0.93,0.92,0.83,0.85,Test_2
340,0.8,0.63,0.92,0.88,0.75,0.77,0.8,Test_3
341,0.65,0.51,0.64,0.68,0.84,0.89,0.71,Test_3
342,0.73,0.6,0.7,0.76,0.7,0.87,0.73,Test_4
343,0.64,0.73,0.68,0.79,0.71,0.87,0.74,Test_5
344,0.86,0.91,0.92,0.89,0.92,0.85,0.9,Never
345,0.49,0.76,0.78,0.66,0.75,0.71,0.7,Test_3
346,0.74,0.64,0.67,0.73,0.75,0.7,0.71,Test_4
347,0.93,0.79,0.78,0.77,0.78,0.78,0.81,Test_5
348,0.63,0.76,0.83,0.84,0.86,0.73,0.78,Test_3
349,0.88,0.98,0.93,0.88,0.77,0.88,0.89,Test_2
350,0.85,0.86,0.61,0.72,0.91,0.73,0.78,Test_4
351,0.84,0.52,0.67,0.72,0.71,0.82,0.72,Test_3
352,0.72,0.88,0.87,0.84,0.96,0.82,0.85,Test_2
353,0.73,0.82,0.91,0.91,0.8,0.74,0.82,Test_2
354,0.88,0.94,0.87,0.91,0.81,0.69,0.85,Never
355,0.72,0.79,0.67,0.69,0.79,0.88,0.76,Test_2
356,0.68,0.57,0.75,0.48,0.83,0.82,0.69,Test_5
357,0.92,0.79,0.85,0.68,0.78,0.88,0.82,Never
358,0.84,0.81,0.77,0.76,0.71,0.78,0.78,Test_2
359,0.77,0.5,0.76,0.64,0.75,0.75,0.7,Test_4
360,0.39,0.46,0.61,0.6,0.37,0.74,0.53,Never
361,0.82,0.75,0.87,0.76,0.81,0.87,0.82,Test_2
362,0.58,0.67,0.56,0.77,0.85,0.77,0.7,Test_5
363,0.99,0.88,0.88,0.91,0.91,0.88,0.91,Never
364,0.78,0.85,0.8,0.83,0.96,0.91,0.86,Test_2
365,0.47,0.53,0.41,0.46,0.56,0.69,0.52,Test_6
366,0.83,0.81,0.79,0.9,0.86,0.82,0.84,Test_2
367,0.59,0.38,0.58,0.63,0.53,0.74,0.58,Test_6
368,0.76,0.79,0.92,0.9,0.78,0.91,0.85,Test_2
369,0.7,0.84,0.89,0.61,0.82,0.77,0.78,Test_2
370,0.42,0.47,0.76,0.74,0.82,0.63,0.64,Test_3
371,0.87,0.8,0.93,0.86,0.96,0.93,0.9,Test_5
372,0.67,0.74,0.89,0.79,0.91,0.85,0.81,Test_3
373,0.87,0.91,0.96,0.9,0.88,0.88,0.9,Never
374,0.76,0.68,0.93,0.77,0.84,0.9,0.82,Test_4
375,0.69,0.81,0.74,0.86,0.74,0.83,0.78,Test_2
376,0.32,0.79,0.79,0.83,0.72,0.71,0.7,Test_2
377,0.64,0.73,0.83,0.83,0.78,0.71,0.76,Test_3
378,0.65,0.48,0.7,0.63,0.72,0.66,0.64,Test_6
379,0.64,0.61,0.88,0.91,0.78,0.82,0.78,Test_3
380,0.9,0.74,0.72,0.83,0.97,0.96,0.86,Test_3
381,0.77,0.75,0.82,0.82,0.85,0.8,0.81,Test_2
382,0.88,0.78,0.88,0.85,0.89,0.83,0.86,Never
383,0.63,0.7,0.78,0.88,0.85,0.7,0.76,Test_3
384,0.64,0.82,0.78,0.77,0.63,0.9,0.76,Test_3
385,0.96,0.92,0.98,0.92,0.86,0.93,0.93,Never
386,0.68,0.82,0.83,0.66,0.73,0.96,0.78,Test_2
387,0.84,0.88,0.94,0.9,0.89,0.89,0.89,Test_3
388,0.67,0.68,0.8,0.83,0.77,0.78,0.76,Test_3
389,0.72,0.68,1.0,0.68,0.77,0.89,0.79,Test_2
390,0.8,0.88,0.74,0.92,0.84,0.81,0.84,Test_3
391,0.62,0.59,0.65,0.58,0.67,0.69,0.64,Test_6
392,0.68,0.88,0.77,0.86,0.83,0.81,0.81,Test_2
393,0.77,0.84,0.85,0.8,0.79,0.81,0.81,Test_6
394,0.72,0.6,0.77,0.71,0.85,0.81,0.75,Test_5
395,0.49,0.45,0.85,0.74,0.77,0.7,0.67,Test_5
396,0.59,0.59,0.48,0.63,0.66,0.52,0.58,Never
397,0.66,0.94,0.95,0.77,0.75,0.9,0.83,Never
398,0.64,0.87,0.82,0.89,0.82,0.77,0.81,Test_2
399,0.52,0.69,0.7,0.57,0.7,0.79,0.67,Test_5
400,0.67,0.55,0.91,0.59,0.76,0.67,0.7,Never
